('initial parent1 = ', '1000')
('initial parent2 = ', '1000')
('parent1, parent2 = ', '1000', '1000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0101')
('parent1, parent2 = ', '0001', '0011')
('parent1, parent2 = ', '0001', '0010')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0101')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0011')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0011')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0011')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0011')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0000', '0000')
('parent1, parent2 = ', '0000', '0000')
('parent1, parent2 = ', '0000', '0000')
('parent1, parent2 = ', '0010', '0000')
('parent1, parent2 = ', '0000', '0000')
('parent1, parent2 = ', '0000', '0000')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0011')
('parent1, parent2 = ', '0001', '0001')
('parent1, parent2 = ', '0001', '0001')
('best value ', 1)
end
